"Almacenado","Creado por","Etiqueta de campo","Indexado","Modelo","Modelo relacionado","Nombre de campo","Sólo lectura","Tipo","Tipo de campo"
"True","","Token de seguridad","","Tíquet de asistencia","","access_token","","Campo base","Carácter"
"","","URL de acceso al portal","","Tíquet de asistencia","","access_url","True","Campo base","Carácter"
"","","Alerta de acceso","","Tíquet de asistencia","","access_warning","True","Campo base","texto"
"True","","Activo","","Tíquet de asistencia","","active","","Campo base","booleano"
"","","Siguiente evento en el calendario de actividades.","","Tíquet de asistencia","calendar.event","activity_calendar_event_id","True","Campo base","many2one"
"","","Siguiente plazo de actividad","","Tíquet de asistencia","","activity_date_deadline","True","Campo base","fecha"
"","","Decoración de Actividad  de Excepción","","Tíquet de asistencia","","activity_exception_decoration","True","Campo base","Selección"
"","","Icono","","Tíquet de asistencia","","activity_exception_icon","True","Campo base","Carácter"
"True","","Actividades","","Tíquet de asistencia","mail.activity","activity_ids","","Campo base","one2many"
"","","Estado de la actividad","","Tíquet de asistencia","","activity_state","True","Campo base","Selección"
"","","Resumen de la siguiente actividad","","Tíquet de asistencia","","activity_summary","","Campo base","Carácter"
"","","Ícono de tipo de actvidad","","Tíquet de asistencia","","activity_type_icon","True","Campo base","Carácter"
"","","Siguiente tipo de actividad","","Tíquet de asistencia","mail.activity.type","activity_type_id","","Campo base","many2one"
"","","Usuario responsable","","Tíquet de asistencia","res.users","activity_user_id","True","Campo base","many2one"
"True","","Cuenta analítica","","Tíquet de asistencia","account.analytic.account","analytic_account_id","","Campo base","many2one"
"True","","Nº de cambios","","Tíquet de asistencia","","answered_customer_message_count","","Campo base","entero"
"True","","Primera fecha asignada","","Tíquet de asistencia","","assign_date","","Campo base","Fecha y hora"
"True","","Hora de la primera tarea (horas)","","Tíquet de asistencia","","assign_hours","True","Campo base","entero"
"True","","Horas promedio para responder","","Tíquet de asistencia","","avg_response_hours","","Campo base","número flotante"
"True","","Campaign","True","Tíquet de asistencia","utm.campaign","campaign_id","","Campo base","many2one"
"True","","Fecha límite","","Tíquet de asistencia","","close_date","","Campo base","Fecha y hora"
"True","","Hora de cierre (horas)","","Tíquet de asistencia","","close_hours","True","Campo base","entero"
"True","","Cerrado por el partner","","Tíquet de asistencia","","closed_by_partner","True","Campo base","booleano"
"True","","Índice de Colores","","Tíquet de asistencia","","color","","Campo base","entero"
"","","Entidad comercial","","Tíquet de asistencia","res.partner","commercial_partner_id","True","Campo base","many2one"
"True","","Compañía","","Tíquet de asistencia","res.company","company_id","True","Campo base","many2one"
"True","","Creado el","","Tíquet de asistencia","","create_date","True","Campo base","Fecha y hora"
"True","","Creado por","","Tíquet de asistencia","res.users","create_uid","True","Campo base","many2one"
"True","","Última actualización de la etapa","","Tíquet de asistencia","","date_last_stage_update","True","Campo base","Fecha y hora"
"True","","Descripción","","Tíquet de asistencia","","description","","Campo base","html"
"","","Display Extra Info","","Tíquet de asistencia","","display_extra_info","True","Campo base","booleano"
"","","Display Invoice Button","","Tíquet de asistencia","","display_invoice_button","True","Campo base","booleano"
"","","Nombre mostrado","","Tíquet de asistencia","","display_name","True","Campo base","Carácter"
"","","Botón de temporizador","","Tíquet de asistencia","","display_timer","True","Campo base","booleano"
"","","Botón para pausar temporizador","","Tíquet de asistencia","","display_timer_pause","True","Campo base","booleano"
"","","Botón para resumir temporizador","","Tíquet de asistencia","","display_timer_resume","True","Campo base","booleano"
"","","Botón de inicio del temporizador ","","Tíquet de asistencia","","display_timer_start_primary","True","Campo base","booleano"
"","","Botón secundario de inicio para temporizador","","Tíquet de asistencia","","display_timer_start_secondary","True","Campo base","booleano"
"","","Botón para detener temporizador ","","Tíquet de asistencia","","display_timer_stop","True","Campo base","booleano"
"","","Botón de tiempo en hojas de tiempo","","Tíquet de asistencia","","display_timesheet_timer","True","Campo base","booleano"
"","","Usuario del dominio","","Tíquet de asistencia","res.users","domain_user_ids","True","Campo base","many2many"
"","","Status time","","Tíquet de asistencia","","duration_tracking","True","Campo base","json"
"True","","Correo electrónico cc","","Tíquet de asistencia","","email_cc","","Campo base","Carácter"
"","","Codificar Uom en días","","Tíquet de asistencia","","encode_uom_in_days","True","Campo base","booleano"
"True","","Horas para la primera respuesta","","Tíquet de asistencia","","first_response_hours","","Campo base","número flotante"
"","","Doblado en Kanban","","Tíquet de asistencia","","fold","True","Campo base","booleano"
"","","Tiene un mensaje","","Tíquet de asistencia","","has_message","True","Campo base","booleano"
"True","","ID","","Tíquet de asistencia","","id","True","Campo base","entero"
"","","Recuento de facturas","","Tíquet de asistencia","","invoice_count","True","Campo base","entero"
"","","El correo electrónico del partner se actualizará","","Tíquet de asistencia","","is_partner_email_update","True","Campo base","booleano"
"","","El teléfono del partner se actualizará","","Tíquet de asistencia","","is_partner_phone_update","True","Campo base","booleano"
"","","El temporizador está activo","","Tíquet de asistencia","","is_timer_running","True","Campo base","booleano"
"True","","Estado de kanban","","Tíquet de asistencia","","kanban_state","","Campo base","Selección"
"","","Etiqueta del Estado del Kanban","","Tíquet de asistencia","","kanban_state_label","True","Campo base","Carácter"
"","","Explicación del kanban bloqueado","","Tíquet de asistencia","","legend_blocked","True","Campo base","Carácter"
"","","Explicación del kanban válido","","Tíquet de asistencia","","legend_done","True","Campo base","Carácter"
"","","Explicación del kanban en proceso","","Tíquet de asistencia","","legend_normal","True","Campo base","Carácter"
"True","","Medium","True","Tíquet de asistencia","utm.medium","medium_id","","Campo base","many2one"
"","","Nº de archivos adjuntos","","Tíquet de asistencia","","message_attachment_count","True","Campo base","entero"
"True","","Seguidores","","Tíquet de asistencia","mail.followers","message_follower_ids","","Campo base","one2many"
"","","Error de Envío de Mensaje","","Tíquet de asistencia","","message_has_error","True","Campo base","booleano"
"","","Numero de errores","","Tíquet de asistencia","","message_has_error_counter","True","Campo base","entero"
"","","Error de entrega del SMS","","Tíquet de asistencia","","message_has_sms_error","True","Campo base","booleano"
"True","","Mensajes","","Tíquet de asistencia","mail.message","message_ids","","Campo base","one2many"
"","","Es un seguidor","","Tíquet de asistencia","","message_is_follower","True","Campo base","booleano"
"","","Acción requerida","","Tíquet de asistencia","","message_needaction","True","Campo base","booleano"
"","","Número de acciones","","Tíquet de asistencia","","message_needaction_counter","True","Campo base","entero"
"","","Seguidores (Contactos)","","Tíquet de asistencia","res.partner","message_partner_ids","","Campo base","many2many"
"","","Mi fecha límite de actividad","","Tíquet de asistencia","","my_activity_date_deadline","True","Campo base","fecha"
"True","","Asunto","True","Tíquet de asistencia","","name","","Campo base","Carácter"
"True","","Fecha del mensaje más antiguo sin repuesta del cliente","","Tíquet de asistencia","","oldest_unanswered_customer_message_date","","Campo base","Fecha y hora"
"","","Tiempo disponible (horas)","","Tíquet de asistencia","","open_hours","True","Campo base","entero"
"True","","Correo electrónico del cliente","","Tíquet de asistencia","","partner_email","","Campo base","Carácter"
"True","","Cliente","True","Tíquet de asistencia","res.partner","partner_id","","Campo base","many2one"
"True","","Nombre del cliente","","Tíquet de asistencia","","partner_name","","Campo base","Carácter"
"","","Número de otros tickets abiertos del mismo contacto","","Tíquet de asistencia","","partner_open_ticket_count","True","Campo base","entero"
"True","","Teléfono del cliente","","Tíquet de asistencia","","partner_phone","","Campo base","Carácter"
"","","Número de tickets del mismo partner","","Tíquet de asistencia","","partner_ticket_count","True","Campo base","entero"
"","","Tickets del partner","","Tíquet de asistencia","helpdesk.ticket","partner_ticket_ids","True","Campo base","many2many"
"True","","Prioridad","","Tíquet de asistencia","","priority","","Campo base","Selección"
"True","","Proyecto","","Tíquet de asistencia","project.project","project_id","True","Campo base","many2one"
"","","Orden de venta del proyecto","","Tíquet de asistencia","sale.order","project_sale_order_id","True","Campo base","many2one"
"True","","Propiedades","","Tíquet de asistencia","","properties","","Campo base","properties"
"","","Calificación promedio","","Tíquet de asistencia","","rating_avg","True","Campo base","número flotante"
"","","Texto de calificación promedio","","Tíquet de asistencia","","rating_avg_text","True","Campo base","Selección"
"","","Cuenta de calificación","","Tíquet de asistencia","","rating_count","True","Campo base","entero"
"True","","Valoraciones","","Tíquet de asistencia","rating.rating","rating_ids","","Campo base","one2many"
"","","Clasificación del último comentario","","Tíquet de asistencia","","rating_last_feedback","True","Campo base","texto"
"","","Clasificación de la última imagen","","Tíquet de asistencia","","rating_last_image","True","Campo base","binario"
"","","Texto de calificación","","Tíquet de asistencia","","rating_last_text","True","Campo base","Selección"
"True","","Calificar Último Valor","","Tíquet de asistencia","","rating_last_value","True","Campo base","número flotante"
"","","Valoración de Satisfacción","","Tíquet de asistencia","","rating_percentage_satisfaction","True","Campo base","número flotante"
"","","Horas restantes disponibles","","Tíquet de asistencia","","remaining_hours_available","True","Campo base","booleano"
"","","Horas restantes en la orden de venta","","Tíquet de asistencia","","remaining_hours_so","True","Campo base","número flotante"
"True","","Elemento del pedido de venta","","Tíquet de asistencia","sale.order.line","sale_line_id","","Campo base","many2one"
"True",""," Referencia de orden de venta ","","Tíquet de asistencia","sale.order","sale_order_id","","Campo base","many2one"
"True","","Fecha límite de SLA","","Tíquet de asistencia","","sla_deadline","True","Campo base","Fecha y hora"
"True","","Horas para la fecha límite de SLA","","Tíquet de asistencia","","sla_deadline_hours","True","Campo base","número flotante"
"","","La política SLA falló.","","Tíquet de asistencia","","sla_fail","True","Campo base","booleano"
"True","","SLAs","","Tíquet de asistencia","helpdesk.sla","sla_ids","","Campo base","many2many"
"True","","Tiene SLA alcanzada","","Tíquet de asistencia","","sla_reached","True","Campo base","booleano"
"True","","Se excedió el tiempo del ANS","","Tíquet de asistencia","","sla_reached_late","True","Campo base","booleano"
"True","","Estado del SLA","","Tíquet de asistencia","helpdesk.sla.status","sla_status_ids","","Campo base","one2many"
"","","Política de éxito SLA","","Tíquet de asistencia","","sla_success","True","Campo base","booleano"
"True","","Source","True","Tíquet de asistencia","utm.source","source_id","","Campo base","many2one"
"True","","Etapa","True","Tíquet de asistencia","helpdesk.stage","stage_id","","Campo base","many2one"
"True","","Etiquetas","","Tíquet de asistencia","helpdesk.tag","tag_ids","","Campo base","many2many"
"True","","Equipo de soporte","True","Tíquet de asistencia","helpdesk.team","team_id","","Campo base","many2one"
"","","Visibilidad de equipo","","Tíquet de asistencia","","team_privacy_visibility","True","Campo base","Selección"
"True","","Secuencia de los IDs de tíquets","True","Tíquet de asistencia","","ticket_ref","True","Campo base","Carácter"
"True","","Tipo","","Tíquet de asistencia","helpdesk.ticket.type","ticket_type_id","","Campo base","many2one"
"","","Última pausa del temporizador","","Tíquet de asistencia","","timer_pause","True","Campo base","Fecha y hora"
"","","Iniciar temporizador","","Tíquet de asistencia","","timer_start","True","Campo base","Fecha y hora"
"True","","Partes de horas","","Tíquet de asistencia","account.analytic.line","timesheet_ids","","Campo base","one2many"
"True","","Horas dedicadas","","Tíquet de asistencia","","total_hours_spent","True","Campo base","número flotante"
"True","","Tiempo de intercambio total en horas","","Tíquet de asistencia","","total_response_hours","","Campo base","número flotante"
"","","Utilizar cupones","","Tíquet de asistencia","","use_coupons","True","Campo base","booleano"
"","","Utilizar facturas rectificativas","","Tíquet de asistencia","","use_credit_notes","True","Campo base","booleano"
"","","Hoja de horas de re-facturación activada en equipo","","Tíquet de asistencia","","use_helpdesk_sale_timesheet","True","Campo base","booleano"
"","","Hoja de horas activas en el equipo","","Tíquet de asistencia","","use_helpdesk_timesheet","True","Campo base","booleano"
"","","Utilizar reparaciones","","Tíquet de asistencia","","use_product_repairs","True","Campo base","booleano"
"","","Utilizar devoluciones","","Tíquet de asistencia","","use_product_returns","True","Campo base","booleano"
"","","Utilizar valoración de clientes","","Tíquet de asistencia","","use_rating","True","Campo base","booleano"
"","","Políticas SLA","","Tíquet de asistencia","","use_sla","True","Campo base","booleano"
"True","","Asignada a","","Tíquet de asistencia","res.users","user_id","","Campo base","many2one"
"","","Temporizador del usuario","","Tíquet de asistencia","timer.timer","user_timer_id","True","Campo base","one2many"
"True","","Mensajes del sitio web","","Tíquet de asistencia","mail.message","website_message_ids","","Campo base","one2many"
"True","","Última actualización el","","Tíquet de asistencia","","write_date","True","Campo base","Fecha y hora"
"True","","Última actualización por","","Tíquet de asistencia","res.users","write_uid","True","Campo base","many2one"
"True","Admin","Aplicación","","Tíquet de asistencia","","x_studio_aplicacion","","Campo personalizado","Selección"
"True","Admin","Canal","","Tíquet de asistencia","","x_studio_canal","","Campo personalizado","Selección"
"True","Admin","Categoría","","Tíquet de asistencia","","x_studio_categora","","Campo personalizado","Selección"
"True","María Colomina","Nuevo Texto","","Tíquet de asistencia","","x_studio_char_field_7k2_1ie4426i8","","Campo personalizado","Carácter"
"True","Admin","Clase","","Tíquet de asistencia","","x_studio_clase","","Campo personalizado","Selección"
"True","Jorge Enrique Green Martínez","Nuevo Fecha y Hora","","Tíquet de asistencia","","x_studio_datetime_field_4iq_1i5su2d7l","","Campo personalizado","Fecha y hora"
"True","María Colomina","Nuevo Fecha y Hora","","Tíquet de asistencia","","x_studio_datetime_field_86a_1i3ms86nr","","Campo personalizado","Fecha y hora"
"True","Admin","Desarrollo","","Tíquet de asistencia","helpdesk.ticket","x_studio_desarrollo","","Campo personalizado","many2one"
"True","Admin","Entidad","","Tíquet de asistencia","x_entidad","x_studio_entidad","","Campo personalizado","many2one"
"True","Admin","Estado temporal","","Tíquet de asistencia","","x_studio_estado_temporal","True","Campo personalizado","Carácter"
"True","Admin","Fecha de compromiso","","Tíquet de asistencia","","x_studio_fecha_de_compromiso","","Campo personalizado","Fecha y hora"
"True","Admin","Id Externo","","Tíquet de asistencia","","x_studio_id_externo","","Campo personalizado","Carácter"
"True","Admin","Nuevo Many2One","","Tíquet de asistencia","res.partner","x_studio_many2one_field_5ai_1hi27jlun","","Campo personalizado","many2one"
"True","Admin","Margen temporal","","Tíquet de asistencia","","x_studio_margen_temporal","True","Campo personalizado","entero"
"True","Admin","New","","Tíquet de asistencia","","x_studio_novedad_1","","Campo personalizado","Selección"
"True","Admin","Origen","","Tíquet de asistencia","","x_studio_origen_1","","Campo personalizado","Selección"
"True","Admin","Puerto WT","","Tíquet de asistencia","","x_studio_puerto_wt","","Campo personalizado","Carácter"
"True","Admin","Nuevo Texto","","Tíquet de asistencia","","x_studio_puerto_wt_1","","Campo personalizado","Carácter"
"True","Admin","Responsabilidad","","Tíquet de asistencia","","x_studio_responsabilidad","","Campo personalizado","Selección"
"True","Maribel Álvarez Ros","Responsable","","Tíquet de asistencia","hr.employee","x_studio_responsable","","Campo personalizado","many2one"
"","Admin","Responsable Entidad","","Tíquet de asistencia","","x_studio_responsable_entidad","True","Campo personalizado","Carácter"
"True","Admin","Solución","","Tíquet de asistencia","","x_studio_solucion","","Campo personalizado","html"
"True","Admin","Subcategoría","","Tíquet de asistencia","","x_studio_subcategora","","Campo personalizado","Selección"
"True","Admin","Tickets asociados","","Tíquet de asistencia","helpdesk.ticket","x_studio_tickets_desarrollo","","Campo personalizado","one2many"
"True","Admin","Tiempo estimado","","Tíquet de asistencia","","x_studio_tiempo_estimado","","Campo personalizado","entero"
"True","Admin","Tipo","","Tíquet de asistencia","","x_studio_tipo","","Campo personalizado","Selección"
"True","Admin","Transportista WT","","Tíquet de asistencia","res.partner","x_studio_transportista_wt","","Campo personalizado","many2one"
"True","Admin","URL SharePoint","","Tíquet de asistencia","","x_studio_url_sharepoint","","Campo personalizado","Carácter"
"True","Admin","URL Ticket","","Tíquet de asistencia","","x_studio_url_ticket","","Campo personalizado","Carácter"
"True","Admin","Go","","Tíquet de asistencia","","x_studio_url_ticket_odoo","True","Campo personalizado","html"
"True","Ricardo García","Total de horas de trabajo","","Tíquet de asistencia","","x_studio_working_hours","True","Campo personalizado","entero"
"True","María Colomina","x_internet_message_id","","Tíquet de asistencia","","x_studio_x_internet_message_id","","Campo personalizado","Carácter"
"True","María Colomina","x_internet_message_id","","Tíquet de asistencia","","x_studio_x_internet_message_id_1","","Campo personalizado","Carácter"
